seed,dq,dp,de,dgf,dgm,dg1,dg2,dg3,dg4,pf,pm,p1,p2,p3,p4,blue_daf,blue_dam,blue_da1,blue_da2,blue_da3,blue_da4,pink_daf,pink_dam,pink_da1,pink_da2,pink_da3,pink_da4,blue_laf,blue_lam,blue_la1,blue_la2,blue_la3,blue_la4,pink_laf,pink_lam,pink_la1,pink_la2,pink_la3,pink_la4,pedid,xr1,blue_recomb,x1,xr2,pink_recomb,x2,x
1663866843,0.4,0.6,0.1,1,3,2,2,2,2,-0.654257322,0.7213633935,-0.019549605,0.0643711769,-0.021380043,0.0176180141,1,2,1,1,1,1,1,2,2,2,2,2,6,1,6,6,6,6,6,1,1,1,1,1,643,0.5404166614,0,0.3881642001,0.4118242978,0,0.1017235551,0.1761801406
2113144300,0.4,0.6,0.1,2,2,2,3,3,1,0.0696407142,-0.041664014,0.0491095066,0.9403280703,0.6970841193,-0.55998071,1,2,2,2,2,1,2,1,1,2,2,1,6,2,1,1,1,1,1,1,1,1,2,1,644,0.2421538691,1,0.1937029325,0.8236591061,0,0.9936105642,0.4001929007
1167547939,0.4,0.6,0.1,2,2,3,3,2,3,-0.002372973,-0.113040373,0.9854920412,0.8999615415,0.0544629191,0.5589826236,1,2,2,2,2,2,2,1,2,2,1,2,3,4,6,6,6,6,6,1,4,1,4,1,645,0.6529512977,0,0.6108933969,0.2641826376,1,0.2059852989,-2.410173764
1399516791,0.4,0.6,0.1,2,1,1,1,1,2,0.1406931953,-0.676702997,-0.674654661,-0.519079117,-0.528539957,-0.094231449,1,1,1,1,1,2,2,1,1,1,1,1,4,5,4,5,4,4,5,1,5,5,1,5,646,0.1142348792,1,0.6960166263,0.4548471754,0,0.2029246437,-0.942314492
219319274,0.4,0.6,0.1,1,3,2,2,2,2,-0.491003923,0.866187747,0.1443915442,0.1327814036,-0.125836556,0.0312294194,1,2,1,1,1,1,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,647,0.0063919453,1,0.8409945438,0.8240791484,0,0.520317449,0.3122941937
1873559742,0.4,0.6,0.1,2,2,2,2,2,2,-0.09015555,-0.211458072,0.0093196619,-0.103132406,-0.11399515,0.1206040649,1,1,2,2,1,1,2,2,1,1,2,2,4,5,4,4,4,4,4,5,5,5,5,5,648,0.5279335522,0,0.2841622961,0.3771455155,1,0.7763508078,1.2060406491
599473811,0.4,0.6,0.1,2,1,1,1,2,2,-0.13861765,-0.520206323,-0.678465236,-0.472364756,-0.066516891,-0.018133777,1,1,1,1,2,2,2,1,1,1,1,1,5,6,5,5,1,5,1,2,2,2,6,2,649,0.2588542301,1,0.927084485,0.9397691725,0,0.7507710749,-0.181337766
866183958,0.4,0.6,0.1,2,1,2,2,2,2,0.0142588716,-0.561674688,0.0948121629,-0.100274953,0.0118889484,-0.017531952,2,1,2,2,2,2,1,1,1,1,1,1,4,4,4,4,4,4,4,3,3,3,4,3,650,0.102323093,1,0.4636674139,0.0560217542,1,0.1174630616,-0.175319522
942163849,0.4,0.6,0.1,2,2,1,1,3,2,0.0264322793,0.014577334,-0.722050065,-0.696141954,0.7351695402,-0.127499284,2,1,1,1,2,2,1,2,1,1,2,1,6,5,3,3,6,6,3,1,5,1,5,5,651,0.813809669,0,0.273206113,0.602756114,0,0.1746390947,-1.274992836
1944101358,0.4,0.6,0.1,2,2,3,2,2,3,-0.254148223,0.2207094367,0.7077335664,0.0733231595,0.1588671012,0.8848609699,2,2,2,1,1,2,1,1,2,2,2,2,1,3,1,1,1,1,1,3,3,3,3,3,652,0.7440028255,0,0.2208074547,0.9733339236,0,0.2827540055,0.8486096986
